Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:03:36.00,500,1500,24,23.8019,50.2068,6712.17,45,1,1,1,1,1,1,1,1,1,1,1,1,0.82645,0.473618,0.020533,0,1,1,1,1,7546.85
000:04:12.00,500.051,1500.13,24.0003,23.802,50.2071,6715.71,45.0019,1,1,1,1,1,1,1,1,1,1,1,1,0.826559,0.473686,0.0205432,0,1,1,1,1,7547.15
000:04:48.00,500.107,1500.27,24,23.8018,50.207,6715.62,45.0011,1,1,1,1,1,1,1,1,1,1,1,1,0.82672,0.473766,0.0205435,0,1,1,1,1,7547.18
000:05:24.00,500.128,1500.33,23.9992,23.8008,50.2069,6714.08,44.9993,1,1,1,1,1,1,1,1,1,1,1,1,0.82684,0.473818,0.020541,0,1,1,1,1,7547.1
000:06:00.00,500.061,1500.19,23.9998,23.8018,50.2068,6711.95,44.9987,1,1,1,1,1,1,1,1,1,1,1,1,0.826767,0.473763,0.0205333,0,1,1,1,1,7546.86
000:06:36.00,499.994,1500.06,24,23.8019,50.2068,6712.03,44.9992,1,1,1,1,1,1,1,1,1,1,1,1,0.826647,0.473707,0.0205331,0,1,1,1,1,7546.84
000:07:12.00,499.965,1500.01,24.0007,23.8024,50.2071,6715.55,45.0026,1,1,1,1,1,1,1,1,1,1,1,1,0.826568,0.473684,0.0205452,0,1,1,1,1,7547.06
000:07:48.00,500.013,1500.14,24.0001,23.8018,50.207,6715.65,45.0013,1,1,1,1,1,1,1,1,1,1,1,1,0.826656,0.473754,0.0205435,0,1,1,1,1,7547.17
000:08:24.00,500.052,1500.23,24,23.8017,50.207,6715.56,45.0007,1,1,1,1,1,1,1,1,1,1,1,1,0.826756,0.473808,0.0205436,0,1,1,1,1,7547.17
000:09:00.00,500.043,1500.2,23.9995,23.8014,50.2068,6712.01,44.9982,1,1,1,1,1,1,1,1,1,1,1,1,0.826776,0.473808,0.0205339,0,1,1,1,1,7546.91
000:09:36.00,499.979,1500.05,23.9999,23.8019,50.2068,6711.99,44.9989,1,1,1,1,1,1,1,1,1,1,1,1,0.826656,0.473739,0.0205332,0,1,1,1,1,7546.84
000:10:12.00,499.937,1499.95,24,23.8019,50.2068,6712.07,44.9994,1,1,1,1,1,1,1,1,1,1,1,1,0.826543,0.473689,0.0205331,0,1,1,1,1,7546.84
000:10:48.00,499.962,1500.01,24.0004,23.8021,50.2071,6715.66,45.0017,1,1,1,1,1,1,1,1,1,1,1,1,0.826552,0.473715,0.0205433,0,1,1,1,1,7547.13
000:11:24.00,500.021,1500.13,24,23.8018,50.207,6715.62,45.001,1,1,1,1,1,1,1,1,1,1,1,1,0.826666,0.473779,0.0205436,0,1,1,1,1,7547.17
000:12:00.00,500.059,1500.2,24,23.8017,50.207,6715.54,45.0006,1,1,1,1,1,1,1,1,1,1,1,1,0.826768,0.473823,0.0205436,0,1,1,1,1,7547.17
000:12:36.00,500.015,1500.07,23.9998,23.8017,50.2068,6711.96,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,0.82671,0.473772,0.0205334,0,1,1,1,1,7546.86
000:13:12.00,499.961,1499.95,24,23.8019,50.2068,6712.03,44.9991,1,1,1,1,1,1,1,1,1,1,1,1,0.826595,0.47371,0.0205332,0,1,1,1,1,7546.84
000:13:48.00,499.938,1499.89,24.001,23.8027,50.207,6715.34,45.0028,1,1,1,1,1,1,1,1,1,1,1,1,0.826511,0.473674,0.0205439,0,1,1,1,1,7547.05
000:14:24.00,499.996,1500.03,24.0002,23.8019,50.2071,6715.67,45.0013,1,1,1,1,1,1,1,1,1,1,1,1,0.826603,0.47374,0.0205435,0,1,1,1,1,7547.16
000:15:00.00,500.046,1500.13,24,23.8017,50.207,6715.58,45.0008,1,1,1,1,1,1,1,1,1,1,1,1,0.826718,0.473795,0.0205437,0,1,1,1,1,7547.18
000:15:36.00,500.052,1500.13,23.9994,23.8014,50.2068,6712.07,44.9981,1,1,1,1,1,1,1,1,1,1,1,1,0.82677,0.473807,0.0205335,0,1,1,1,1,7546.93
000:16:12.00,499.992,1499.98,23.9999,23.8018,50.2068,6711.99,44.9988,1,1,1,1,1,1,1,1,1,1,1,1,0.826663,0.473736,0.0205333,0,1,1,1,1,7546.85
000:16:48.00,499.947,1499.89,24,23.8019,50.2068,6712.08,44.9993,1,1,1,1,1,1,1,1,1,1,1,1,0.826553,0.473684,0.0205332,0,1,1,1,1,7546.84
000:17:24.00,499.962,1499.93,24.0004,23.8021,50.2071,6715.66,45.0017,1,1,1,1,1,1,1,1,1,1,1,1,0.826544,0.473696,0.0205431,0,1,1,1,1,7547.12
000:18:00.00,500.021,1500.06,24.0001,23.8018,50.207,6715.64,45.001,1,1,1,1,1,1,1,1,1,1,1,1,0.826658,0.473763,0.0205436,0,1,1,1,1,7547.18
000:18:36.00,500.06,1500.14,24,23.8017,50.207,6715.56,45.0006,1,1,1,1,1,1,1,1,1,1,1,1,0.826763,0.47381,0.0205437,0,1,1,1,1,7547.18
000:19:12.00,500.025,1500.05,23.9997,23.8017,50.2068,6711.97,44.9984,1,1,1,1,1,1,1,1,1,1,1,1,0.826728,0.473771,0.0205335,0,1,1,1,1,7546.87
000:19:48.00,499.968,1499.93,24,23.8019,50.2068,6712.04,44.9991,1,1,1,1,1,1,1,1,1,1,1,1,0.826611,0.473708,0.0205333,0,1,1,1,1,7546.84
000:20:24.00,499.937,1499.85,24.0008,23.8029,50.2069,6713.56,45.0008,1,1,1,1,1,1,1,1,1,1,1,1,0.826515,0.473666,0.0205358,0,1,1,1,1,7546.92
000:21:00.00,499.989,1499.99,24.0002,23.8019,50.2071,6715.68,45.0014,1,1,1,1,1,1,1,1,1,1,1,1,0.826592,0.473726,0.0205435,0,1,1,1,1,7547.16
000:21:36.00,500.041,1500.1,24,23.8017,50.207,6715.6,45.0008,1,1,1,1,1,1,1,1,1,1,1,1,0.826708,0.473784,0.0205437,0,1,1,1,1,7547.18
000:22:12.00,500.057,1500.13,23.9993,23.8012,50.2068,6712.08,44.9974,1,1,1,1,1,1,1,1,1,1,1,1,0.826777,0.473809,0.0205317,0,1,1,1,1,7546.95
000:22:48.00,499.997,1499.99,23.9999,23.8018,50.2068,6711.99,44.9988,1,1,1,1,1,1,1,1,1,1,1,1,0.826676,0.473739,0.0205334,0,1,1,1,1,7546.85
000:23:24.00,499.95,1499.89,24,23.8019,50.2068,6712.08,44.9993,1,1,1,1,1,1,1,1,1,1,1,1,0.826564,0.473686,0.0205333,0,1,1,1,1,7546.84
000:24:00.00,499.955,1499.9,24.0005,23.8022,50.2071,6715.63,45.0018,1,1,1,1,1,1,1,1,1,1,1,1,0.826533,0.473686,0.0205429,0,1,1,1,1,7547.11
000:24:36.00,500.015,1500.04,24.0001,23.8018,50.207,6715.65,45.0011,1,1,1,1,1,1,1,1,1,1,1,1,0.826644,0.473754,0.0205437,0,1,1,1,1,7547.17
000:25:12.00,500.057,1500.13,24,23.8017,50.207,6715.57,45.0006,1,1,1,1,1,1,1,1,1,1,1,1,0.826752,0.473804,0.0205437,0,1,1,1,1,7547.18
000:25:48.00,500.032,1500.06,23.9997,23.8016,50.2068,6711.98,44.9983,1,1,1,1,1,1,1,1,1,1,1,1,0.82674,0.473778,0.0205336,0,1,1,1,1,7546.89
000:26:24.00,499.973,1499.93,24,23.8019,50.2068,6712.03,44.999,1,1,1,1,1,1,1,1,1,1,1,1,0.826624,0.473713,0.0205333,0,1,1,1,1,7546.84
000:27:00.00,499.937,1499.86,24,23.8019,50.2068,6712.11,44.9995,1,1,1,1,1,1,1,1,1,1,1,1,0.826522,0.473668,0.0205333,0,1,1,1,1,7546.84
000:27:36.00,499.982,1499.97,24.0002,23.8019,50.2071,6715.69,45.0015,1,1,1,1,1,1,1,1,1,1,1,1,0.826579,0.473718,0.0205435,0,1,1,1,1,7547.15
000:28:12.00,500.037,1500.09,24,23.8017,50.207,6715.61,45.0009,1,1,1,1,1,1,1,1,1,1,1,1,0.826695,0.473778,0.0205437,0,1,1,1,1,7547.18
000:28:48.00,500.061,1500.14,23.999,23.801,50.2068,6712.32,44.9972,1,1,1,1,1,1,1,1,1,1,1,1,0.826781,0.473814,0.020533,0,1,1,1,1,7546.97
000:29:24.00,500.004,1500,23.9998,23.8018,50.2068,6711.98,44.9987,1,1,1,1,1,1,1,1,1,1,1,1,0.826689,0.473746,0.0205334,0,1,1,1,1,7546.86
000:30:00.00,499.954,1499.89,24,23.8019,50.2068,6712.07,44.9992,1,1,1,1,1,1,1,1,1,1,1,1,0.826575,0.47369,0.0205333,0,1,1,1,1,7546.84
000:30:36.00,499.949,1499.88,24.0006,23.8023,50.2071,6715.58,45.0019,1,1,1,1,1,1,1,1,1,1,1,1,0.826525,0.473678,0.0205434,0,1,1,1,1,7547.09
000:31:12.00,500.009,1500.03,24.0001,23.8018,50.207,6715.67,45.0012,1,1,1,1,1,1,1,1,1,1,1,1,0.826631,0.473747,0.0205437,0,1,1,1,1,7547.17
