Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:03:00.00, 500, 1500, 24, 23.8019, 50.2068, 6712.17, 45, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.82645, 0.473618, 0.020533, 0, 1, 1, 1, 1, 7546.85
000:03:36.00, 500, 1500, 24, 23.8019, 50.2068, 6712.17, 45, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.82645, 0.473618, 0.020533, 0, 1, 1, 1, 1, 7546.85
000:04:12.00, 500, 1500, 24, 23.8019, 50.2068, 6712.17, 45, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.82645, 0.473618, 0.020533, 0, 1, 1, 1, 1, 7546.85
000:04:48.00, 500, 1500, 24, 23.8019, 50.2068, 6712.17, 45, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.82645, 0.473617, 0.020533, 0, 1, 1, 1, 1, 7546.85
000:05:24.00, 500, 1500, 24, 23.8019, 50.2068, 6712.17, 45, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.82645, 0.473617, 0.020533, 0, 1, 1, 1, 1, 7546.85
000:06:00.00, 495.072, 1493.07, 24.6605, 24.1886, 50.2928, 7781.26, 46.1016, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.818731, 0.470122, 0.0237478, 0, 1, 1, 1, 1, 7688.8
000:06:36.00, 442.268, 1389.84, 24.6814, 23.9717, 50.4113, 9238.13, 46.3653, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.695028, 0.415052, 0.0275489, 0, 1, 1, 1, 1, 8045.26
000:07:12.00, 426.938, 1333.98, 23.557, 23.1548, 50.3148, 8564.72, 45.172, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.619602, 0.378266, 0.025347, 0, 1, 1, 1, 1, 7897.37
000:07:48.00, 419.389, 1305.67, 23.8556, 23.3262, 50.4032, 9650.99, 45.0643, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.558384, 0.3534, 0.0273622, 0, 1, 1, 1, 1, 8132.92
