Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:19:48.00, 500.053, 1474.64, 24.0172, 23.3745, 50.562, 11183, 45.0187, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307639, 0.151219, 0.036134, 0, 1, 1, 1, 1, 8711.74
000:20:24.00, 498.956, 1479.66, 24.1072, 23.7601, 50.5861, 11348, 45.1043, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304585, 0.152439, 0.0363224, 0.00104534, 1, 1, 1, 1, 8721.25
000:21:00.00, 498.856, 1481.51, 24.2215, 23.5628, 50.5943, 11402.2, 45.1455, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304672, 0.152293, 0.0363488, 0, 1, 1, 1, 1, 8783.04
000:21:36.00, 497.825, 1482.53, 24.2008, 23.8112, 50.6035, 11483, 45.2309, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.301727, 0.151761, 0.0368568, 0, 1, 1, 1, 1, 8774.51
000:22:12.00, 498.219, 1480.37, 24.1191, 23.4516, 50.6006, 11499.3, 45.2025, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.302006, 0.149662, 0.036914, 0, 1, 1, 1, 1, 8808.99
000:22:48.00, 500.634, 1486.14, 23.7776, 22.858, 50.5655, 11304.2, 45.0019, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.30626, 0.151556, 0.0362433, 0, 1, 1, 1, 1, 8765.71
000:23:24.00, 502.42, 1494.44, 23.9492, 23.2746, 50.5586, 11183.7, 44.944, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310967, 0.15511, 0.035722, 0, 1, 1, 1, 1, 8720.78
000:24:00.00, 500.85, 1496.53, 23.9773, 23.777, 50.5556, 11144.7, 44.8722, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308423, 0.155844, 0.035593, 0.00171118, 1, 1, 1, 1, 8670.7
000:24:36.00, 500.387, 1496.87, 23.6779, 23.0611, 50.5464, 11182.5, 44.8773, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307629, 0.15577, 0.0357778, 0, 1, 1, 1, 1, 8708
000:25:12.00, 501.718, 1503.48, 24.033, 23.6436, 50.5651, 11203.5, 45.0277, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.311365, 0.159109, 0.03598, 0, 1, 1, 1, 1, 8690.45
000:25:48.00, 499.588, 1500, 24.0041, 23.329, 50.5769, 11336.2, 45.0845, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308097, 0.157552, 0.0362793, 0, 1, 1, 1, 1, 8755.95
000:26:24.00, 496.014, 1494.5, 23.8891, 23.332, 50.568, 11324.1, 44.9866, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.299266, 0.154639, 0.0361111, 0, 1, 1, 1, 1, 8752.9
000:27:00.00, 497.792, 1490.78, 23.7489, 23.1086, 50.562, 11309.6, 44.9576, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.300602, 0.152268, 0.0360789, 0, 1, 1, 1, 1, 8758.74
000:27:36.00, 499.871, 1495.78, 23.9084, 23.3806, 50.5649, 11287.1, 44.9908, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305049, 0.154349, 0.0361683, 0, 1, 1, 1, 1, 8732.01
000:28:12.00, 498.99, 1495.54, 23.7295, 23.0696, 50.5642, 11326.2, 45.0122, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.302182, 0.153967, 0.0364028, 0, 1, 1, 1, 1, 8748.66
000:28:48.00, 500.052, 1498.38, 23.8513, 23.5054, 50.5493, 11138.1, 44.8257, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.303486, 0.155156, 0.0356528, 0, 1, 1, 1, 1, 8681.47
000:29:24.00, 499.667, 1494.82, 23.8935, 22.9665, 50.5764, 11369.4, 45.0168, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.303271, 0.153162, 0.0361906, 0, 1, 1, 1, 1, 8798.79
000:30:00.00, 499.948, 1491.94, 23.9753, 23.4224, 50.5652, 11263.4, 44.8769, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.303541, 0.151299, 0.0358451, 0, 1, 1, 1, 1, 8751.05
000:30:36.00, 500.827, 1494.59, 23.8433, 23.2357, 50.5644, 11283.7, 44.9414, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305108, 0.152196, 0.0361412, 0, 1, 1, 1, 1, 8735.71
000:31:12.00, 502.88, 1498.81, 24.2867, 23.8513, 50.584, 11273.1, 44.999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310483, 0.154149, 0.0360319, 0, 1, 1, 1, 1, 8738.79
000:31:48.00, 501.219, 1499.14, 23.9195, 23.5351, 50.567, 11268.6, 44.9802, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.30851, 0.154247, 0.0361784, 0, 1, 1, 1, 1, 8713.79
000:32:24.00, 500.856, 1504.35, 24.1179, 23.6693, 50.573, 11231.4, 44.9619, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308067, 0.157022, 0.0358285, 0, 1, 1, 1, 1, 8712.65
000:33:00.00, 499.325, 1506.02, 24.0317, 23.2084, 50.5742, 11303.5, 45.1247, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306925, 0.158247, 0.036345, 0, 1, 1, 1, 1, 8761.58
000:33:36.00, 498.387, 1503.8, 23.8481, 23.178, 50.5593, 11226.2, 44.9724, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.302792, 0.157381, 0.0359451, 0, 1, 1, 1, 1, 8728.14
000:34:12.00, 498.095, 1497.83, 24.1604, 23.8923, 50.5933, 11411.3, 45.1018, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.301943, 0.154531, 0.0364645, 0.00141172, 1, 1, 1, 1, 8753.59
000:34:48.00, 498.377, 1496.76, 23.9897, 23.4489, 50.5775, 11358.7, 45.0843, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.301864, 0.153859, 0.0364333, 0, 1, 1, 1, 1, 8752.44
000:35:24.00, 500.599, 1498.44, 23.8462, 22.904, 50.5763, 11363.7, 45.0879, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305601, 0.154617, 0.0365013, 0, 1, 1, 1, 1, 8776.77
000:36:00.00, 501.509, 1505.31, 24.3178, 23.8889, 50.5786, 11217.5, 45.0078, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308222, 0.158176, 0.0359316, 0, 1, 1, 1, 1, 8719.47
000:36:36.00, 502.213, 1505.94, 24.228, 23.6365, 50.5766, 11239.4, 45.0129, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.311413, 0.158812, 0.035778, 0, 1, 1, 1, 1, 8737.96
000:37:12.00, 502.308, 1507.05, 23.836, 22.9269, 50.5592, 11215.2, 45.0061, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.312501, 0.159758, 0.0358831, 0, 1, 1, 1, 1, 8733.72
000:37:48.00, 499.987, 1499.63, 23.6916, 22.8814, 50.56, 11302.6, 44.9602, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308373, 0.156197, 0.0359347, 0, 1, 1, 1, 1, 8765.05
000:38:24.00, 498.92, 1495.98, 24.242, 23.9492, 50.581, 11295.6, 44.9673, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306288, 0.154226, 0.03589, 0, 1, 1, 1, 1, 8749.61
000:39:00.00, 500.143, 1496.62, 24.3345, 23.906, 50.5898, 11294.4, 45.0664, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307609, 0.154255, 0.0362267, 0, 1, 1, 1, 1, 8745.22
000:39:36.00, 499.953, 1498.85, 23.8191, 23.1565, 50.5569, 11215.5, 44.9319, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307236, 0.155224, 0.035967, 0, 1, 1, 1, 1, 8723.16
000:40:12.00, 499.571, 1499.5, 24.1303, 23.5705, 50.5835, 11352.4, 45.1237, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307273, 0.155574, 0.03633, 0, 1, 1, 1, 1, 8748.2
000:40:48.00, 498.919, 1498.56, 23.8721, 23.3503, 50.5644, 11282.6, 45.0576, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304747, 0.154987, 0.0363291, 0, 1, 1, 1, 1, 8721.98
000:41:24.00, 499.113, 1499.82, 23.7817, 22.9032, 50.5668, 11318.1, 45.0277, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304284, 0.155607, 0.0362839, 0, 1, 1, 1, 1, 8759.9
000:42:00.00, 501.573, 1500.39, 24.0139, 23.6895, 50.5781, 11314.2, 45.0372, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308976, 0.15588, 0.0361613, 0.00124099, 1, 1, 1, 1, 8716.08
000:42:36.00, 502.221, 1501.76, 23.9326, 23.6398, 50.5675, 11255.8, 44.9062, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.31112, 0.156646, 0.0357046, 0.00141887, 1, 1, 1, 1, 8702.31
000:43:12.00, 503.262, 1502.69, 24.007, 23.5439, 50.5609, 11207, 44.9182, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.315919, 0.157215, 0.0356646, 0, 1, 1, 1, 1, 8715.82
000:43:48.00, 499.805, 1499.81, 23.7669, 23.1423, 50.5546, 11228.7, 44.9164, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308651, 0.15581, 0.0359208, 0, 1, 1, 1, 1, 8729.55
000:44:24.00, 499.685, 1500.42, 24.2202, 23.5669, 50.5897, 11362.3, 45.1018, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309265, 0.156185, 0.036197, 0, 1, 1, 1, 1, 8772.37
000:45:00.00, 500.548, 1500.38, 23.6156, 22.8295, 50.5423, 11165.2, 44.9019, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310342, 0.156108, 0.0358882, 0, 1, 1, 1, 1, 8716.3
000:45:36.00, 501.175, 1501.43, 23.6867, 22.8817, 50.5498, 11204.1, 44.9401, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.312324, 0.156669, 0.0359165, 0, 1, 1, 1, 1, 8724.72
